Company,Location ,Title,Name ,Focus,Experience,,,,,,,,,,,,
,Hong Kong,Managing Director,Warren Valdmanis,"Australia; Consumer, Retail&Dining",Joined in 2005. Ex Bain & Co,,,,,,,,,,,,
,Hong Kong,Managing Director,Clark Feng,"Consumer, Retai & Dining",Joined in 2006. Ex Bain & Co.,,,,,,,,,,,,
,Hong Kong,Managing Director,Craig Boyce,SEA & Korea,Retired. Now MP at ALS Investment Fund since 2017. Joined in 1998. Ex Bain &Co.,,,,,,,,,,,,
,Hong Kong,Managing Director,Drew Chen,TMT,Joined in 2005. Ex China Inverstment Corporation and Bain & Company.,,,,,,,,,,,,
,Hong Kong,Managing Director,Eric Erb,,Transferred to HK in 18,,,,,,,,,,,,
,Hong Kong,Managing Director,James Hidebrandt,IR,Joined in 2005. Ex Bain & Co. and Benetter Jones ,,,,,,,,,,,,
,Hong Kong,Managing Director,James Tam,,Ex MS,,,,,,,,,,,,
,Hong Kong,Managing Director,Jungwoo Lee,,"Joined in 2015. Ex MS PE, AlpInvest Partners, Credit Suisse and McKinsey & Company",,,,,,,,,,,,
,Hong Kong,Managing Director,Lihong Wang,Industrial & Energy; Financial & Business Services,,,,,,,,,,,,,
,HongKong,Director,Alex Faqiang Wang,IR,Joined in 2004. EAL Placed. Left in 2018 to join Carlyle,,,,,,,,,,,,
,Hong Kong,Principal ,Andy Fan,,Made Principal in 2018.  Rejoined in 2014. Stanford. Ex McK,,,,,,,,,,,,
,Hong Kong,Principal,Chen QIAN,"Industrials, Consumer","Joined in 2014 from Bain & Co. SH, Yale MSc 12, Tsinghua Beng 10.",,,,,,,,,,,,
,Hong Kong,Principal,Jason Zhu,"Consumer, Business Services",Joined in '12/15. ,,,,,,,,,,,,
,Hong Kong,Principal,Julia Zhu,HC,"Joined in '08/17 as VP, promoted to Principal in 18.  Ex CVC",,,,,,,,,,,,
,Hong Kong,Principal,Kevin Guan,,Joined in '09/16. EAL placed. MBA,,,,,,,,,,,,
,Hong Kong,Principal,Michael Min Li,Healthcare,Joined in 2003. Ex GIP,,,,,,,,,,,,
,Shanghai,Operating Partner,David He,Portfolio Monitoring,Left for PAG Operating Partner,,,,,,,,,,,,
,Hong Kong,Operating Partner,Frank Xiaofeng Yao,Portfolio Monitoring,Ex Mercer Management Consulting and Schneider Electric.,,,,,,,,,,,,
,Hong Kong,Operating Partner,Leong Cheung,Portfolio Monitoring,"HKJC exec, charity. Retired from Bain. Now with HK Mortage Corp",,,,,,,,,,,,
,Shanghai,Senior Vice President,Fei Xu,Portfolio Monitoring,Joined in 2011. Ex Bain & Co.,,,,,,,,,,,,
,Shanghai,Senior Vice President,Minyu Yan,Portfolio Monitoring,Joined in 2012. Ex BCG,,,,,,,,,,,,
,Hong Kong,Senior Vice President,Wilma Choi,HR,Joined in 2010. Ex Macquarie Capital Securities Ltd,,,,,,,,,,,,
,Shanghai,Senior Vice President,Zhenyu Zhang,Portfolio Monitoring,Joined in 2012. Ex Bain & Co. and Roland Berger.,,,,,,,,,,,,
,Hong Kong,Executive Vice President,David Odgers,,"Joined in 2013. Ex eBay, The Nuance Group and Bain&Co. Left in 2019 to join IFM Investor",,,,,,,,,,,,
,Hong Kong,Executive Vice President,Larry Chan,Portfolio Monitoring,Joined in 2011 from SCB personal banking,,,,,,,,,,,,
,Hong Kong,Vice President 1,Fan Wu,Consumer TMT,Joined in 15. Ex Blackstone.,,,,,,,,,,,,
,Hong Kong,Principal,Renjie Wang,HC,"Joined in 14, ex Hony 12 - 14, PKU MA 12, Fudan BA 10",,,,,,,,,,,,
,Hong Kong,Vice President,Andrew Liu,,Joined in 18. Ex Bain & Co. Bain Baby,,,,,,,,,,,,
,Hong Kong,Vice President,Carolyn Liu,,"Joined in 8/18, ex CITIC Capital, ex CITIC PE",,,,,,,,,,,,
